,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Dylan Larkin\larkidy01,21,C,82,16,47,63,-9,61,13,1,2,4,39,7,1,232,6.9,1627,19:51,3.5,1.6,5.2,42,76,656,658,49.9
2,Henrik Zetterberg\zettehe01,37,LW,82,11,45,56,1,14,10,1,0,2,28,17,0,180,6.1,1599,19:30,2.4,2.0,4.4,34,49,666,709,48.4
3,Anthony Mantha\manthan01,23,RW,80,24,24,48,-1,52,15,9,0,2,21,3,0,190,12.6,1384,17:18,3.5,1.7,5.2,36,91,17,35,32.7
4,Gustav Nyquist\nyquigu01,28,RW,82,21,19,40,-2,20,18,3,0,2,14,5,0,213,9.9,1464,17:51,2.2,1.7,3.9,36,65,6,7,46.2
5,Justin Abdelkader\abdelju01,30,LW,75,13,22,35,-11,78,9,4,0,0,17,5,0,110,11.8,1241,16:33,1.4,1.1,2.5,40,174,47,50,48.5
6,Andreas Athanasiou\athanan01,23,C,71,16,17,33,-15,16,15,1,0,2,15,2,0,170,9.4,1087,15:19,2.0,0.8,2.7,28,24,106,149,41.6
7,Frans Nielsen\nielsfr01,33,C,79,16,17,33,1,14,10,4,2,3,13,3,1,134,11.9,1250,15:50,1.5,1.6,3.1,62,49,483,558,46.4
8,Mike Green\greenmi03,32,D,66,8,25,33,-14,38,7,1,0,0,13,12,0,132,6.1,1457,22:05,2.4,2.4,4.7,74,78,0,0,
9,Darren Helm\helmda01,31,C/LW,75,13,18,31,3,39,11,0,2,0,16,0,2,141,9.2,1167,15:34,1.2,1.6,2.8,36,131,45,57,44.1
10,Tomas Tatar\tatarto01,27,C,62,16,12,28,-8,24,8,8,0,3,9,3,0,140,11.4,1038,16:44,1.6,1.0,2.6,24,45,1,8,11.1
11,Niklas Kronwall\kronwni01,37,D,79,4,23,27,-14,36,2,2,0,0,10,13,0,76,5.3,1463,18:31,1.4,2.4,3.7,107,82,0,0,
12,Martin Frk\frkma01,24,RW,68,11,14,25,-14,14,6,5,0,0,10,4,0,99,11.1,700,10:17,1.7,0.3,2.0,10,77,0,2,0.0
13,Tyler Bertuzzi\bertuty01,22,LW,48,7,17,24,-7,39,6,1,0,1,16,1,0,83,8.4,691,14:24,1.2,0.6,1.8,38,53,1,7,12.5
14,Luke Glendening\glendlu01,28,C,69,11,8,19,-14,17,8,1,2,2,7,0,1,88,12.5,911,13:12,0.5,0.6,1.1,83,137,394,285,58.0
15,Trevor Daley\daleytr01,34,D,77,9,7,16,-5,36,8,0,1,4,5,0,2,103,8.7,1594,20:42,0.6,3.4,4.0,125,24,0,0,
16,Nick Jensen\jenseni02,27,D,81,0,15,15,-8,27,0,0,0,0,14,1,0,107,0.0,1317,16:15,-0.1,2.5,2.4,88,71,0,0,
17,Jonathan Ericsson\ericsjo01,33,D,81,3,10,13,-7,47,3,0,0,0,9,0,1,86,3.5,1564,19:19,-0.3,3.2,2.8,84,133,1,0,100.0
18,Danny DeKeyser\dekeyda01,27,D,65,6,6,12,2,28,6,0,0,0,6,0,0,65,9.2,1321,20:19,0.2,3.3,3.5,125,76,0,0,
19,Xavier Ouellet\ouellxa01,24,D,45,0,7,7,-3,6,0,0,0,0,7,0,0,57,0.0,624,13:51,-0.1,1.2,1.2,43,36,0,0,
20,David Booth\boothda01,33,LW,28,4,1,5,-5,10,4,0,0,0,0,1,0,33,12.1,195,6:58,0.4,0.0,0.4,7,23,4,6,40.0
21,Evgeny Svechnikov\svechev01,21,LW,14,2,2,4,-2,8,2,0,0,0,2,0,0,15,13.3,123,8:49,0.3,0.1,0.3,6,15,1,4,20.0
22,Luke Witkowski\witkolu01,27,D,31,1,3,4,-1,68,1,0,0,0,3,0,0,16,6.3,213,6:53,0.2,0.4,0.7,11,57,1,1,50.0
23,Joe Hicketts\hickejo01,21,D,5,0,3,3,5,2,0,0,0,0,2,1,0,2,0.0,87,17:21,0.2,0.6,0.8,12,9,0,0,
24,Jimmy Howard\howarja02,33,G,60,0,1,1,0,10,0,0,0,0,0,0,1,0,,3368,56:08,0.0,0.0,9.4,0,0,0,0,
25,Jared Coreau\coreaja01,26,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,380,54:21,0.0,0.0,0.1,0,0,0,0,
26,Brian Lashoff\lashobr01,27,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:02,0.0,0.0,0.0,,0,,,
27,Petr Mrazek\mrazepe01,25,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,1184,53:48,0.0,0.0,3.3,0,0,0,0,
28,Riley Sheahan\sheahri01,26,C,8,0,0,0,0,4,0,0,0,0,0,0,0,5,0.0,72,9:03,-0.2,0.1,-0.1,4,6,8,11,42.1
29,Dominic Turgeon\turgedo01,21,C,5,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,46,9:14,-0.1,0.0,-0.2,8,3,7,14,33.3
30,Scott Wilson\wilsosc01,25,C/LW,17,0,0,0,-1,0,0,0,0,0,0,0,0,10,0.0,127,7:28,-0.4,0.1,-0.2,5,22,3,1,75.0
,Team Total,,,82,212,363,575,-131,710,162,41,9,25,276,78,9,2490,8.5,,,27.4,34.0,74.2,1168,1606,2447,2562,48.9
